registered_number,route,component,page_file,title,route_state,sequence_number,source_bytes,dependency_count,primary_component,dependency_files,missing_imports,image_media_signals,interaction_signals,personal_voice_signals,design_tokens,error_signals,generic_signals,unknown_navigation_targets,boredom_risk,source_fingerprint,gift_present,memory,gift,compliment,message,surprise
"148","/word-jumble","RomanceWordJumblePage","src/pages/RomanceWordJumblePage.jsx","Words Abu Saves for Samjhana","registered but not in sequence","","57684","10","RomanceWordJumble","src/pages/RomanceWordJumblePage.jsx | src/components/RomanceWordJumble.jsx | src/components/WorldShell.jsx | src/themes.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js | src/utils/mediaUtils.js | src/utils/whatsappHelper.js","","27","60","44","text-pink-400 text-center rounded-3xl bg-slate-950 border-4 border-pink-400/60 shadow-2xl text-xs font-mono text-pink-300","","","","LOW","01a21d154067","true","Water Park laughter and the day moving too quickly","a quiet “open when” note for your pocket","Your “huss” can make a long day feel close again.","Samjhana, my Samjhana, Abu made the Word Jumble room around Water Park laughter and the day moving too quickly. This page is a soft place to land when your day is heavy.","A small surprise: Abu remembers more than he says. Your “huss” can make a long day feel close again. This page is Abu’s a promise map for the places we still want to see for Sanzu."
"149","/time-capsule-2","BirthdayTimeCapsule2Page","src/pages/BirthdayTimeCapsule2Page.jsx","Time Capsule 2","sequence page 118","118","56739","10","BirthdayTimeCapsule2","src/pages/BirthdayTimeCapsule2Page.jsx | src/components/BirthdayTimeCapsule2.jsx | src/components/WorldShell.jsx | src/themes.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js | src/utils/mediaUtils.js | src/utils/whatsappHelper.js","","27","57","40","text-purple-400 text-center rounded-3xl bg-slate-950 border-4 border-purple-400/60 shadow-2xl rounded-full bg-purple-900/60 border-2","","","","LOW","64c14037405d","true","the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home","a promise map for the places we still want to see","You make Abu want to become gentler, steadier, and more worthy of your trust.","Samjhana, my Fuchee, Abu made the Time Capsule 2 room around the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home. Open this when you miss Abu.","The secret is simple: Abu would still choose you in every version of the story. You make Abu want to become gentler, steadier, and more worthy of your trust. This page is Abu’s a t"
"150","/love-compatibility-matrix","LoveCompatibilityMatrixPage","src/pages/LoveCompatibilityMatrixPage.jsx","Love Compatibility Matrix","sequence page 119","119","59367","10","LoveCompatibilityMatrix","src/pages/LoveCompatibilityMatrixPage.jsx | src/components/LoveCompatibilityMatrix.jsx | src/components/WorldShell.jsx | src/themes.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js | src/utils/mediaUtils.js | src/utils/whatsappHelper.js","","27","61","47","text-pink-400 text-center rounded-3xl bg-slate-950 border-4 border-purple-400/60 shadow-2xl rounded-full bg-gradient-to-tr from-pink-500","","","","LOW","2ad1ae3e30e4","true","the day “Abhay” became “Abu” because you made it yours","a future postcard from the light-blue scooter road","You are the person behind every name Abu says with a softer voice.","Samjhana, my Sanu, Abu made the Love Compatibility Matrix room around the day “Abhay” became “Abu” because you made it yours. Read this slowly, Sanu. It was made for your exact hea","This page is a soft place to land when your day is heavy. You are the person behind every name Abu says with a softer voice. This page is Abu’s a Bageshwori memory pressed between "
"151","/future-house-builder","FutureHouseBuilderPage","src/pages/FutureHouseBuilderPage.jsx","Future House Builder","sequence page 120","120","60224","10","FutureHouseBuilder","src/pages/FutureHouseBuilderPage.jsx | src/components/FutureHouseBuilder.jsx | src/components/WorldShell.jsx | src/themes.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js | src/utils/mediaUtils.js | src/utils/whatsappHelper.js","","27","58","45","text-amber-600 text-center rounded-3xl border-4 shadow-2xl text-left border-b border-amber-900/10 text-sm font-extrabold","","","","LOW","cc881c65db4f","true","dropping you at the Language Institute before Japan","a quiet “open when” note for your pocket","Your moods, your laugh, your quiet, and your Bhoot moments all belong to the girl Abu loves.","Samjhana, my Sanu, Abu made the Future House Builder room around dropping you at the Language Institute before Japan. This page is a soft place to land when your day is heavy.","A small surprise: Abu remembers more than he says. Your moods, your laugh, your quiet, and your Bhoot moments all belong to the girl Abu loves. This page is Abu’s a promise map for"
"152","/romantic-playlist-mixer","RomanticPlaylistMixerPage","src/pages/RomanticPlaylistMixerPage.jsx","Romantic Playlist Mixer","sequence page 121","121","56129","10","RomanticPlaylistMixer","src/pages/RomanticPlaylistMixerPage.jsx | src/components/RomanticPlaylistMixer.jsx | src/components/WorldShell.jsx | src/themes.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js | src/utils/mediaUtils.js | src/utils/whatsappHelper.js","","27","54","44","text-pink-400 text-center rounded-3xl bg-slate-950 border-4 border-pink-400/60 shadow-2xl rounded-full bg-gradient-to-br from-gray-900","","","","LOW","63cb7c086c12","true","the room-search conversation that started in Nepalgunj","a tiny cinema ticket for one moment Abu would replay","You are the best part of every future Abu imagines.","Samjhana, my Fuchee, Abu made the Romantic Playlist Mixer room around the room-search conversation that started in Nepalgunj. Read this slowly, Sanu. It was made for your exact hea","This page is a soft place to land when your day is heavy. You are the best part of every future Abu imagines. This page is Abu’s a private letter from Abu for Samjhana."
"153","/sweet-promises-jar","SweetPromisesJarPage","src/pages/SweetPromisesJarPage.jsx","Sweet Promises Jar","sequence page 122","122","57130","10","SweetPromisesJar","src/pages/SweetPromisesJarPage.jsx | src/components/SweetPromisesJar.jsx | src/components/WorldShell.jsx | src/themes.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js | src/utils/mediaUtils.js | src/utils/whatsappHelper.js","","27","58","40","text-rose-500 text-center rounded-3xl bg-slate-950 border-4 border-rose-400/60 shadow-2xl rounded-full bg-rose-900/40 border-2","","","","LOW","ed4d2aab5301","true","the day “Abhay” became “Abu” because you made it yours","a tiny memory ticket from Nepalgunj","You are the person behind every name Abu says with a softer voice.","Samjhana, my Sanu, Abu made the Sweet Promises Jar room around the day “Abhay” became “Abu” because you made it yours. A small surprise: Abu remembers more than he says.","Keep this for the next time distance feels loud. You are the person behind every name Abu says with a softer voice. This page is Abu’s a voice-note moment for the nights you miss h"
"154","/love-languages-quiz","LoveLanguagesQuizPage","src/pages/LoveLanguagesQuizPage.jsx","Love Languages Quiz","sequence page 123","123","56516","10","LoveLanguagesQuiz","src/pages/LoveLanguagesQuizPage.jsx | src/components/LoveLanguagesQuiz.jsx | src/components/WorldShell.jsx | src/themes.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js | src/utils/mediaUtils.js | src/utils/whatsappHelper.js","","27","53","41","text-rose-500 text-center rounded-3xl border-4 border-rose-300 shadow-2xl bg-black/40 bg-black/75 rounded-xl text-xs","","","","LOW","0aa99c4bd7fc","true","Water Park laughter and the day moving too quickly","a tiny cinema ticket for one moment Abu would replay","Your “huss” can make a long day feel close again.","Samjhana, my Bhuntu, Abu made the Love Languages Quiz room around Water Park laughter and the day moving too quickly. Read this slowly, Sanu. It was made for your exact heart.","This page is a soft place to land when your day is heavy. Your “huss” can make a long day feel close again. This page is Abu’s a private letter from Abu for Sanu."
"155","/love-constellation-painter","LoveConstellationPainterPage","src/pages/LoveConstellationPainterPage.jsx","Love Constellation Painter","sequence page 125","125","57245","10","LoveConstellationPainter","src/pages/LoveConstellationPainterPage.jsx | src/components/LoveConstellationPainter.jsx | src/components/WorldShell.jsx | src/themes.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js | src/utils/mediaUtils.js | src/utils/whatsappHelper.js","","27","58","41","text-amber-300 text-center rounded-3xl bg-slate-950 border-4 border-amber-300/60 shadow-2xl rounded-full bg-amber-900/30 border-2","","","","LOW","6142111f90a8","true","the room-search conversation that started in Nepalgunj","a future postcard from the light-blue scooter road","You are the best part of every future Abu imagines.","Samjhana, my Bhoot, Abu made the Love Constellation Painter room around the room-search conversation that started in Nepalgunj. Read this slowly, Sanu. It was made for your exact h","This page is a soft place to land when your day is heavy. You are the best part of every future Abu imagines. This page is Abu’s a Bageshwori memory pressed between two pages for B"
"156","/love-letter-generator","LoveLetterGeneratorPage","src/pages/LoveLetterGeneratorPage.jsx","Love Letter Generator","sequence page 126","126","56657","10","LoveLetterGenerator","src/pages/LoveLetterGeneratorPage.jsx | src/components/LoveLetterGenerator.jsx | src/components/WorldShell.jsx | src/themes.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js | src/utils/mediaUtils.js | src/utils/whatsappHelper.js","","27","54","45","text-amber-700 text-center rounded-full text-xs font-bold bg-amber-800 text-amber-50 border-amber-800 shadow-md bg-white","","","","LOW","d1dc108b70b0","true","dropping you at the Language Institute before Japan","a soft landing place for a difficult day","Your moods, your laugh, your quiet, and your Bhoot moments all belong to the girl Abu loves.","Samjhana, my Babe, Abu made the Love Letter Generator room around dropping you at the Language Institute before Japan. Keep this for the next time distance feels loud.","Read this slowly, Sanu. It was made for your exact heart. Your moods, your laugh, your quiet, and your Bhoot moments all belong to the girl Abu loves. This page is Abu’s a bouquet "
"157","/anniversary-countdown-clock","AnniversaryCountdownClockPage","src/pages/AnniversaryCountdownClockPage.jsx","Anniversary Countdown Clock","sequence page 127","127","56507","10","AnniversaryCountdownClock","src/pages/AnniversaryCountdownClockPage.jsx | src/components/AnniversaryCountdownClock.jsx | src/components/WorldShell.jsx | src/themes.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js | src/utils/mediaUtils.js | src/utils/whatsappHelper.js","","27","55","38","text-rose-500 text-center rounded-3xl border-4 border-amber-300 shadow-2xl bg-black/40 bg-black/75 rounded-xl text-xs","","","","LOW","0fc975ae2706","true","dropping you at the Language Institute before Japan","a soft landing place for a difficult day","Your moods, your laugh, your quiet, and your Bhoot moments all belong to the girl Abu loves.","Samjhana, my Bhuntu, Abu made the Anniversary Countdown Clock room around dropping you at the Language Institute before Japan. Keep this for the next time distance feels loud.","Read this slowly, Sanu. It was made for your exact heart. Your moods, your laugh, your quiet, and your Bhoot moments all belong to the girl Abu loves. This page is Abu’s a bouquet "
"158","/heart-bubble-tea-maker","HeartBubbleTeaMakerPage","src/pages/HeartBubbleTeaMakerPage.jsx","Heart Bubble Tea Maker","sequence page 128","128","57627","10","HeartBubbleTeaMaker","src/pages/HeartBubbleTeaMakerPage.jsx | src/components/HeartBubbleTeaMaker.jsx | src/components/WorldShell.jsx | src/themes.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js | src/utils/mediaUtils.js | src/utils/whatsappHelper.js","","27","56","41","text-pink-500 text-center rounded-3xl bg-slate-950 border-4 border-pink-300 shadow-2xl rounded-2xl border-2 border-amber-300","","","","LOW","167b5cba3d94","true","late-night video calls between Nepalgunj and Sakai, Osaka","a private letter from Abu","You make ordinary food, ordinary calls, and ordinary rooms feel like memories.","Samjhana, my Bhoot, Abu made the Heart Bubble Tea Maker room around late-night video calls between Nepalgunj and Sakai, Osaka. This is a reminder that you are loved in the details.","Open this when you miss Abu. You make ordinary food, ordinary calls, and ordinary rooms feel like memories. This page is Abu’s a promise folded into a keepsake card for Bebo."
"159","/love-notes-wall","LoveNotesWallPage","src/pages/LoveNotesWallPage.jsx","Love Notes Wall","sequence page 129","129","55865","10","LoveNotesWall","src/pages/LoveNotesWallPage.jsx | src/components/LoveNotesWall.jsx | src/components/WorldShell.jsx | src/themes.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js | src/utils/mediaUtils.js | src/utils/whatsappHelper.js","","27","54","40","bg-pink-100 border-pink-300 text-pink-900 bg-amber-100 border-amber-300 text-amber-900 bg-purple-100 border-purple-300 text-purple-900 bg-rose-100","","","","LOW","23931e056f9d","true","the day “Abhay” became “Abu” because you made it yours","a small surprise box with one true thing inside","You are the person behind every name Abu says with a softer voice.","Samjhana, my Bebo, Abu made the Love Notes Wall room around the day “Abhay” became “Abu” because you made it yours. Keep this for the next time distance feels loud.","Read this slowly, Sanu. It was made for your exact heart. You are the person behind every name Abu says with a softer voice. This page is Abu’s a birthday blessing written in Abu’s"
"160","/virtual-cat-cafe","VirtualCatCafePage","src/pages/VirtualCatCafePage.jsx","Virtual Cat Cafe","sequence page 130","130","56201","10","VirtualCatCafe","src/pages/VirtualCatCafePage.jsx | src/components/VirtualCatCafe.jsx | src/components/WorldShell.jsx | src/themes.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js | src/utils/mediaUtils.js | src/utils/whatsappHelper.js","","27","55","41","text-pink-500 text-center rounded-3xl bg-slate-950 border-4 border-pink-300 shadow-2xl rounded-2xl border-2 border-amber-300","","","","LOW","8b09e0dc9c36","true","dropping you at the Language Institute before Japan","a promise folded into a keepsake card","Your moods, your laugh, your quiet, and your Bhoot moments all belong to the girl Abu loves.","Samjhana, my Bhoot, Abu made the Virtual Cat Cafe room around dropping you at the Language Institute before Japan. This page is a soft place to land when your day is heavy.","A small surprise: Abu remembers more than he says. Your moods, your laugh, your quiet, and your Bhoot moments all belong to the girl Abu loves. This page is Abu’s a compliment save"
"161","/memory-replay","MemoryReplayPage","src/pages/MemoryReplayPage.jsx","The Memory Abu Keeps Replaying","registered but not in sequence","","321300","4","page-specific JSX","src/pages/MemoryReplayPage.jsx | src/utils/mediaUtils.js | src/data/pageGiftData.js | src/data/pageNames.js","","33","8","4129","bg-[ text-white text-xs font-black text-orange-300/70 text-6xl text-8xl text-orange-300 rounded-[2rem] border-8","","placeholder copy","","LOW","72d2ffd6cd19","true","the room-search conversation that started in Nepalgunj","a tiny memory ticket from Nepalgunj","You are the best part of every future Abu imagines.","Samjhana, my Fuchee, Abu made the Memory Abu Keeps Replaying room around the room-search conversation that started in Nepalgunj. A small surprise: Abu remembers more than he says.","Keep this for the next time distance feels loud. You are the best part of every future Abu imagines. This page is Abu’s a voice-note moment for the nights you miss home for Samjhan"
"162","/love-quiz-personality","LoveQuizPersonalityPage","src/pages/LoveQuizPersonalityPage.jsx","Love Quiz Personality","registered but not in sequence","","55898","10","LoveQuizPersonality","src/pages/LoveQuizPersonalityPage.jsx | src/components/LoveQuizPersonality.jsx | src/components/WorldShell.jsx | src/themes.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js | src/utils/mediaUtils.js | src/utils/whatsappHelper.js","","27","53","42","text-pink-400 text-center rounded-3xl border-4 border-rose-300 shadow-2xl bg-black/40 bg-black/75 rounded-xl text-xs","","","","LOW","627ccf1e4158","true","the room-search conversation that started in Nepalgunj","a future postcard from the light-blue scooter road","You are the best part of every future Abu imagines.","Samjhana, my Runchi, Abu made the Love Quiz Personality room around the room-search conversation that started in Nepalgunj. Read this slowly, Sanu. It was made for your exact heart","This page is a soft place to land when your day is heavy. You are the best part of every future Abu imagines. This page is Abu’s a Bageshwori memory pressed between two pages for B"
"163","/sweet-proposal-simulator","SweetProposalSimulatorPage","src/pages/SweetProposalSimulatorPage.jsx","Sweet Proposal Simulator","sequence page 131","131","58376","10","SweetProposalSimulator","src/pages/SweetProposalSimulatorPage.jsx | src/components/SweetProposalSimulator.jsx | src/components/WorldShell.jsx | src/themes.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js | src/utils/mediaUtils.js | src/utils/whatsappHelper.js","","27","60","42","text-rose-500 text-center rounded-3xl bg-white border-pink-200 shadow-xl text-left text-xs font-bold text-gray-700","","","","LOW","84d8ee5b840e","true","the room-search conversation that started in Nepalgunj","a tiny cinema ticket for one moment Abu would replay","You are the best part of every future Abu imagines.","Samjhana, my Babe, Abu made the Sweet Proposal Simulator room around the room-search conversation that started in Nepalgunj. Read this slowly, Sanu. It was made for your exact hear","This page is a soft place to land when your day is heavy. You are the best part of every future Abu imagines. This page is Abu’s a private letter from Abu for Runchi."
"164","/love-frequency-tuner","LoveFrequencyTunerPage","src/pages/LoveFrequencyTunerPage.jsx","Love Frequency Tuner","sequence page 132","132","65439","10","LoveFrequencyTuner","src/pages/LoveFrequencyTunerPage.jsx | src/components/LoveFrequencyTuner.jsx | src/components/WorldShell.jsx | src/themes.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js | src/utils/mediaUtils.js | src/utils/whatsappHelper.js","","27","80","43","rounded-sm text-amber-400 rounded-3xl border-2 border-stone-600 bg-stone-500 rounded-2xl border-stone-700 text-white text-xs","","","","LOW","c1378aa1d16e","true","the room-search conversation that started in Nepalgunj","a promise folded into a keepsake card","You are the best part of every future Abu imagines.","Samjhana, my Samjhana, Abu made the Love Frequency Tuner room around the room-search conversation that started in Nepalgunj. This page is a soft place to land when your day is heav","A small surprise: Abu remembers more than he says. You are the best part of every future Abu imagines. This page is Abu’s a compliment saved for your next tired day for Sanzu."
"165","/couples-secret-handshake","CouplesSecretHandshakePage","src/pages/CouplesSecretHandshakePage.jsx","Couples Secret Handshake","sequence page 133","133","57100","10","CouplesSecretHandshake","src/pages/CouplesSecretHandshakePage.jsx | src/components/CouplesSecretHandshake.jsx | src/components/WorldShell.jsx | src/themes.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js | src/utils/mediaUtils.js | src/utils/whatsappHelper.js","","27","59","39","text-rose-500 text-center rounded-3xl bg-slate-950 border-4 border-rose-400 shadow-2xl rounded-2xl border-2 border-amber-300","","","","LOW","4a134b2af99b","true","the dream of Pokhara, Manang, and Mustang waiting for us","a tiny memory ticket from Nepalgunj","You are beautiful in the moments you never think to pose for.","Samjhana, my Sanu, Abu made the Couples Secret Handshake room around the dream of Pokhara, Manang, and Mustang waiting for us. A small surprise: Abu remembers more than he says.","Keep this for the next time distance feels loud. You are beautiful in the moments you never think to pose for. This page is Abu’s a voice-note moment for the nights you miss home f"
"166","/starry-night-skywriter","StarryNightSkywriterPage","src/pages/StarryNightSkywriterPage.jsx","Starry Night Skywriter","sequence page 134","134","56949","10","StarryNightSkywriter","src/pages/StarryNightSkywriterPage.jsx | src/components/StarryNightSkywriter.jsx | src/components/WorldShell.jsx | src/themes.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js | src/utils/mediaUtils.js | src/utils/whatsappHelper.js","","27","58","41","text-sky-400 text-center rounded-3xl bg-slate-950 border-4 border-sky-400/60 shadow-2xl rounded-full bg-sky-900/30 border-2","","","","LOW","f0918bf445a1","true","the dream of Pokhara, Manang, and Mustang waiting for us","a quiet “open when” note for your pocket","You are beautiful in the moments you never think to pose for.","Samjhana, my Samjhana, Abu made the Starry Night Skywriter room around the dream of Pokhara, Manang, and Mustang waiting for us. This page is a soft place to land when your day is ","A small surprise: Abu remembers more than he says. You are beautiful in the moments you never think to pose for. This page is Abu’s a promise map for the places we still want to se"
"167","/romantic-cooking-recipe","RomanticCookingRecipePage","src/pages/RomanticCookingRecipePage.jsx","Romantic Cooking Recipe","sequence page 135","135","56775","10","RomanticCookingRecipe","src/pages/RomanticCookingRecipePage.jsx | src/components/RomanticCookingRecipe.jsx | src/components/WorldShell.jsx | src/themes.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js | src/utils/mediaUtils.js | src/utils/whatsappHelper.js","","27","59","39","text-amber-500 text-center rounded-3xl bg-white border-4 border-amber-400 shadow-2xl text-6xl text-base font-extrabold","","","","LOW","4ff14ee531e6","true","dropping you at the Language Institute before Japan","a tiny memory ticket from Nepalgunj","Your moods, your laugh, your quiet, and your Bhoot moments all belong to the girl Abu loves.","Samjhana, my Babe, Abu made the Romantic Cooking Recipe room around dropping you at the Language Institute before Japan. A small surprise: Abu remembers more than he says.","Keep this for the next time distance feels loud. Your moods, your laugh, your quiet, and your Bhoot moments all belong to the girl Abu loves. This page is Abu’s a voice-note moment"
"168","/love-vault-combination","LoveVaultCombinationPage","src/pages/LoveVaultCombinationPage.jsx","Love Vault Combination","sequence page 136","136","56740","10","LoveVaultCombination","src/pages/LoveVaultCombinationPage.jsx | src/components/LoveVaultCombination.jsx | src/components/WorldShell.jsx | src/themes.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js | src/utils/mediaUtils.js | src/utils/whatsappHelper.js","","27","58","41","text-amber-400 text-center rounded-3xl bg-slate-950 border-4 border-amber-500 shadow-2xl rounded-full bg-gradient-to-tr from-amber-500","","","","LOW","5847821fb4f8","true","dropping you at the Language Institute before Japan","a small surprise box with one true thing inside","Your moods, your laugh, your quiet, and your Bhoot moments all belong to the girl Abu loves.","Samjhana, my Runchi, Abu made the Love Vault Combination room around dropping you at the Language Institute before Japan. Keep this for the next time distance feels loud.","Read this slowly, Sanu. It was made for your exact heart. Your moods, your laugh, your quiet, and your Bhoot moments all belong to the girl Abu loves. This page is Abu’s a birthday"
"169","/sweet-voicemail-inbox","SweetVoicemailInboxPage","src/pages/SweetVoicemailInboxPage.jsx","Sweet Voicemail Inbox","sequence page 137","137","56493","10","SweetVoicemailInbox","src/pages/SweetVoicemailInboxPage.jsx | src/components/SweetVoicemailInbox.jsx | src/components/WorldShell.jsx | src/themes.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js | src/utils/mediaUtils.js | src/utils/whatsappHelper.js","","27","54","41","text-purple-400 text-center rounded-3xl border-4 border-purple-300 shadow-2xl bg-black/40 bg-black/75 rounded-xl text-xs","","","","LOW","8a7ea9ffff23","true","the dream of Pokhara, Manang, and Mustang waiting for us","a soft landing place for a difficult day","You are beautiful in the moments you never think to pose for.","Samjhana, my Bhoot, Abu made the Sweet Voicemail Inbox room around the dream of Pokhara, Manang, and Mustang waiting for us. Keep this for the next time distance feels loud.","Read this slowly, Sanu. It was made for your exact heart. You are beautiful in the moments you never think to pose for. This page is Abu’s a bouquet of words for your soft days for"
"170","/couple-daily-horoscope","CoupleDailyHoroscopePage","src/pages/CoupleDailyHoroscopePage.jsx","Couple Daily Horoscope","sequence page 138","138","57210","10","CoupleDailyHoroscope","src/pages/CoupleDailyHoroscopePage.jsx | src/components/CoupleDailyHoroscope.jsx | src/components/WorldShell.jsx | src/themes.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js | src/utils/mediaUtils.js | src/utils/whatsappHelper.js","","27","58","41","text-purple-300 text-center rounded-3xl bg-slate-950 border-4 border-purple-400/60 shadow-2xl rounded-full bg-purple-900/40 border-2","","","","LOW","0ed15e4b08dd","true","the room-search conversation that started in Nepalgunj","a Sakai-to-Nepalgunj distance token","You are the best part of every future Abu imagines.","Samjhana, my Sanzu, Abu made the Couple Daily Horoscope room around the room-search conversation that started in Nepalgunj. A small surprise: Abu remembers more than he says.","Keep this for the next time distance feels loud. You are the best part of every future Abu imagines. This page is Abu’s a memory ribbon tied to your favourite name for Bhuntu."
"171","/love-scratch-off-gallery","LoveScratchOffGalleryPage","src/pages/LoveScratchOffGalleryPage.jsx","Love Scratch Off Gallery","registered but not in sequence","","55840","10","LoveScratchOffGallery","src/pages/LoveScratchOffGalleryPage.jsx | src/components/LoveScratchOffGallery.jsx | src/components/WorldShell.jsx | src/themes.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js | src/utils/mediaUtils.js | src/utils/whatsappHelper.js","","27","55","39","text-amber-400 text-center rounded-3xl border-4 border-amber-300 shadow-2xl bg-black/40 rounded-2xl border-2 border-pink-300","","","","LOW","4d3bef74a315","true","late-night video calls between Nepalgunj and Sakai, Osaka","a promise map for the places we still want to see","You make ordinary food, ordinary calls, and ordinary rooms feel like memories.","Samjhana, my Bhuntu, Abu made the Love Scratch Off Gallery room around late-night video calls between Nepalgunj and Sakai, Osaka. Open this when you miss Abu.","The secret is simple: Abu would still choose you in every version of the story. You make ordinary food, ordinary calls, and ordinary rooms feel like memories. This page is Abu’s a "
"172","/heart-shape-tangram","HeartShapeTangramPage","src/pages/HeartShapeTangramPage.jsx","Heart Shape Tangram","registered but not in sequence","","57025","10","HeartShapeTangram","src/pages/HeartShapeTangramPage.jsx | src/components/HeartShapeTangram.jsx | src/components/WorldShell.jsx | src/themes.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js | src/utils/mediaUtils.js | src/utils/whatsappHelper.js","","27","57","38","bg-rose-500 bg-pink-500 bg-amber-400 bg-purple-500 text-rose-500 text-center rounded-3xl bg-slate-950 border-4 border-amber-400","","","","LOW","1582e948e4fc","true","the dream of Pokhara, Manang, and Mustang waiting for us","a soft landing place for a difficult day","You are beautiful in the moments you never think to pose for.","Samjhana, my Samjhana, Abu made the Heart Shape Tangram room around the dream of Pokhara, Manang, and Mustang waiting for us. Keep this for the next time distance feels loud.","Read this slowly, Sanu. It was made for your exact heart. You are beautiful in the moments you never think to pose for. This page is Abu’s a bouquet of words for your soft days for"
"173","/love-meteor-shower","LoveMeteorShowerPage","src/pages/LoveMeteorShowerPage.jsx","Love Meteor Shower","sequence page 139","139","56163","10","LoveMeteorShower","src/pages/LoveMeteorShowerPage.jsx | src/components/LoveMeteorShower.jsx | src/components/WorldShell.jsx | src/themes.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js | src/utils/mediaUtils.js | src/utils/whatsappHelper.js","","27","55","37","text-pink-400 text-center rounded-3xl bg-slate-950 border-4 border-pink-400/60 shadow-2xl rounded-2xl border-2 border-amber-300","","","","LOW","cc6c027e7782","true","the dream of Pokhara, Manang, and Mustang waiting for us","a Sakai-to-Nepalgunj distance token","You are beautiful in the moments you never think to pose for.","Samjhana, my Runchi, Abu made the Love Meteor Shower room around the dream of Pokhara, Manang, and Mustang waiting for us. A small surprise: Abu remembers more than he says.","Keep this for the next time distance feels loud. You are beautiful in the moments you never think to pose for. This page is Abu’s a memory ribbon tied to your favourite name for Bh"
"174","/sweet-tea-ceremony","SweetTeaCeremonyPage","src/pages/SweetTeaCeremonyPage.jsx","Sweet Tea Ceremony","sequence page 140","140","57248","10","SweetTeaCeremony","src/pages/SweetTeaCeremonyPage.jsx | src/components/SweetTeaCeremony.jsx | src/components/WorldShell.jsx | src/themes.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js | src/utils/mediaUtils.js | src/utils/whatsappHelper.js","","27","59","38","text-amber-600 text-center rounded-3xl bg-slate-950 border-4 border-amber-500 shadow-2xl rounded-2xl border-2 border-amber-300","","","","LOW","8f5f4bc0cf92","true","the dream of Pokhara, Manang, and Mustang waiting for us","a small surprise box with one true thing inside","You are beautiful in the moments you never think to pose for.","Samjhana, my Fuchee, Abu made the Sweet Tea Ceremony room around the dream of Pokhara, Manang, and Mustang waiting for us. Keep this for the next time distance feels loud.","Read this slowly, Sanu. It was made for your exact heart. You are beautiful in the moments you never think to pose for. This page is Abu’s a birthday blessing written in Abu’s hand"
